parliament,member,birthPlace,coordinates,start,end,party
37,"Reginald Manningham-Buller, 1st Viscount Dilhorne",Amersham,(-0.633333333 51.666666666),1943,1945,Conservative Party
38,"John Maclay, 1st Viscount Muirshiel",Glasgow,(-4.25 55.861111111),1945,1950,National Liberal Party
37,"Charles Wood, 2nd Earl of Halifax",St George Hanover Square,(-0.143056 51.5125),1937,1945,Conservative Party
38,Margaret Herbison,Shotts,(-3.80393 55.8224),1945,1950,Labour Party
38,Mark Hewitson,Consett,(-1.83 54.85),1945,1950,Labour Party
38,Maurice Edelman,Cardiff,(-3.179166666 51.481666666),1945,1950,Labour Party
38,Maurice Orbach,Cardiff,(-3.179166666 51.481666666),1945,1950,Labour Party
37,Megan Lloyd George,Criccieth,(-4.236261111 52.916969444),1935,1945,Labour Party
37,Thomas Brooks,Thurgoland,(-1.5635 53.5054),1942,1945,Labour Party
38,Horace Holmes,Weston,(-0.84 53.2),1946,1950,Labour Party
38,Herschel Lewis Austin,Plymouth,(-4.142222222 50.371388888),1945,1950,Labour Party
38,Henry Usborne,Hisar,(75.736666666 29.148888888),1945,1950,Labour Party
38,Charles Simmons,Moseley,(-1.88814 52.4467),1945,1950,Labour Party
38,Clarice Shaw,Leith,(-3.17005 55.9801),1945,1946,Labour Party
38,Clifford Kenyon,Burnley,(-2.248055555 53.788888888),1945,1950,Labour Party
38,Clifford Wilcock,Luton,(-0.414722222 51.878333333),1945,1950,Labour Party
38,Dan Chater,Lambeth,(-0.1193 51.4903),1945,1950,Labour Party
37,David Grenfell,Penyrheol,(-4.05531 51.6808),1935,1945,Labour Party
38,David Hardman,London,(-0.1275 51.507222222),1945,1950,Labour Party
38,"David Kirkwood, 1st Baron Kirkwood",Parkhead,(-4.1978 55.8486),1945,1950,Labour Party
38,"Jennie Lee, Baroness Lee of Asheridge",Fife,(-3.2 56.25),1945,1950,Labour Party
37,John Burns Hynd,Perth,(-3.433333333 56.395833333),1944,1945,Labour Party
38,John Edwards,Aylesbury,(-0.8124 51.8168),1945,1950,Labour Party
38,Lucy Noel-Buxton,Winchester,(-1.308611111 51.063333333),1945,1950,Labour Party
38,Lynn Ungoed-Thomas,Carmarthen,(-4.316388888 51.856944444),1945,1950,Labour Party
38,Marcus Lipton,Sunderland,(-1.380277777 54.9),1945,1950,Labour Party
37,Moelwyn Hughes,Cardigan,(-4.657919444 52.084169444),1941,1945,Labour Party
38,Roy Jenkins,Abersychan,(-3.067203 51.735824),1948,1950,Liberal Democrats
37,Clement Davies,Llanfyllin,(-3.2725 52.766388888),1935,1945,Liberal Party
38,"George Ward, 1st Viscount Ward of Witley",London,(-0.1275 51.507222222),1945,1950,Conservative Party
38,Alfred Bossom,London,(-0.1275 51.507222222),1945,1950,Conservative Party
38,Aidan Crawley,Benenden,(0.5782 51.0675),1945,1950,Conservative Party
37,Alan Chorlton,Audenshaw,(-2.1122 53.4743),1935,1945,Conservative Party
38,"Alan Lennox-Boyd, 1st Viscount Boyd of Merton",Christchurch,(-1.78 50.73),1945,1950,Conservative Party
37,Albert Braithwaite,Horsforth,(-1.642880555 53.834130555),1935,1945,Conservative Party
38,"Frederick Erroll, 1st Baron Erroll of Hale",London,(-0.1275 51.507222222),1945,1950,Conservative Party
37,"Geoffrey Hutchinson, Baron Ilford",Prestwich,(-2.2833 53.5333),1937,1945,Conservative Party
37,John Profumo,Kensington,(-0.1909 51.5004),1940,1945,Conservative Party
37,Richard Pilkington,St Helens,(-2.7461 53.4541),1935,1945,Conservative Party
37,"Robin Turton, Baron Tranmire",Kildale,(-1.03193 54.4789),1935,1945,Conservative Party
38,"Frederick Wise, 1st Baron Wise",Bury St Edmunds,(0.7125 52.246667),1945,1950,Labour Party
37,Geoffrey Mander,Wolverhampton,(-2.125277777 52.584166666),1935,1945,Labour Party
38,George Buchanan,Cairo,(31.235833333 30.044444444),1945,1948,Labour Party
37,"George Henry Hall, 1st Viscount Hall",Penrhiwceiber,(-3.361 51.67),1935,1945,Labour Party
37,George Hicks,Vernham Dean,(-1.51183 51.3074),1935,1945,Labour Party
37,George Isaacs,Finsbury,(-0.0925 51.5224),1939,1945,Labour Party
38,"George Lindgren, Baron Lindgren",Islington,(-0.1027 51.544),1945,1950,Labour Party
37,"George Mathers, 1st Baron Mathers",Newtown St Boswells,(-2.673055555 55.577222222),1935,1945,Labour Party
37,George Oliver,Bolton,(-2.43 53.578333333),1935,1945,Labour Party
37,George Strauss,London,(-0.1275 51.507222222),1935,1945,Labour Party
38,"George Thomson, Lord Thomson",Bellshill,(-4.028333333 55.820555555),1945,1947,Labour Party
37,George Tomlinson,Rishton,(-2.418702777 53.770111111),1938,1945,Labour Party
37,"George Trefgarne, 1st Baron Trefgarne",Haverfordwest,(-4.969444444 51.801111111),1935,1945,Labour Party
38,"George Wallace, Baron Wallace of Coslany",Cheltenham,(-2.078427777 51.896519444),1945,1950,Labour Party
38,"Oliver Baldwin, 2nd Earl Baldwin of Bewdley",Astley Hall,(-2.295947 52.307605),1945,1947,Labour Party
38,Noel Mason-Macfarlane,Cookham,(-0.708 51.558),1945,1946,Labour Party
38,John Freeman,London,(-0.1275 51.507222222),1945,1950,Labour Party
38,Konni Zilliacus,Kobe,(135.195444444 34.690166666),1945,1950,Labour Party
37,"Leslie Haden-Guest, 1st Baron Haden-Guest",Oldham,(-2.118333333 53.544722222),1937,1945,Labour Party
38,Albert Davies,Smallthorne,(-2.1733 53.0516),1945,1950,Labour Party
38,Alfred Balfour,Aberdeen,(-2.1 57.15),1945,1950,Labour Party
37,Alfred Salter,Greenwich,(0.0 51.48),1935,1945,Labour Party
38,"Alice Bacon, Baroness Bacon",Normanton,(-1.416 53.697),1945,1950,Labour Party
37,Andrew MacLaren,Glasgow,(-4.25 55.861111111),1935,1945,Labour Party
37,Aneurin Bevan,Tredegar,(-3.240688888 51.777611111),1935,1945,Labour Party
38,Richard Crossman,Banbury,(-1.339166666 52.061388888),1945,1950,Labour Party
38,Ernest Bevin,Winsford,(-3.5652 51.0993),1945,1950,Labour Party
38,Stafford Cripps,London,(-0.1275 51.507222222),1945,1950,Labour Party
